rank,lemma,is_mwe,pos_guess,raw_freq,freq_per_million
5001,fulano,0,adj,5364,8.597
5002,dificil,0,unk,5362,8.594
5003,broche,0,unk,5362,8.594
5004,falcão,0,noun,5360,8.591
5005,fundador,0,noun,5359,8.589
5006,riso,0,noun,5357,8.586
5007,solidão,0,noun,5356,8.584
5008,mamilo,0,noun,5356,8.584
5009,t-shirt,0,unk,5354,8.581
5010,atormentar,0,verb,5354,8.581
5011,nadia,0,noun,5347,8.570
5012,refúgio,0,noun,5346,8.568
5013,complicação,0,noun,5346,8.568
5014,presta atenção,1,mwe,5345,8.567
5015,riscar,0,verb,5344,8.565
5016,cubo,0,noun,5343,8.564
5017,encanto,0,noun,5341,8.560
5018,phoenix,0,unk,5338,8.556
5019,bónus,0,unk,5337,8.554
5020,extensão,0,noun,5336,8.552
5021,naval,0,adj,5336,8.552
5022,embrulhar,0,verb,5335,8.551
5023,hambúrguer,0,verb,5332,8.546
5024,molhado,0,noun,5331,8.544
5025,vapor,0,unk,5328,8.540
5026,pierce,0,unk,5328,8.540
5027,drive,0,unk,5325,8.535
5028,salvamento,0,noun,5318,8.524
5029,percurso,0,noun,5317,8.522
5030,orientar,0,verb,5314,8.517
5031,daniels,0,unk,5313,8.516
5032,tirado,0,noun,5313,8.516
5033,elite,0,unk,5312,8.514
5034,câmbio,0,noun,5311,8.512
5035,mills,0,unk,5308,8.507
5036,obrigatório,0,noun,5307,8.506
5037,andrea,0,noun,5305,8.503
5038,técnica,0,adj,5305,8.503
5039,garrett,0,unk,5305,8.503
5040,beneficiar,0,verb,5302,8.498
5041,hans,0,unk,5299,8.493
5042,vermelhas,0,unk,5298,8.491
5043,stevens,0,unk,5297,8.490
5044,river,0,verb,5296,8.488
5045,contabilista,0,noun,5294,8.485
5046,desmoronar,0,verb,5294,8.485
5047,jeitoso,0,adj,5293,8.483
5048,jurisdição,0,noun,5292,8.482
5049,impressionado,0,noun,5292,8.482
5050,bebes,0,unk,5286,8.472
5051,invocar,0,verb,5286,8.472
5052,inocência,0,noun,5284,8.469
5053,intervir,0,verb,5284,8.469
5054,magoado,0,noun,5282,8.466
5055,perfurar,0,verb,5282,8.466
5056,paula,0,noun,5281,8.464
5057,douglas,0,unk,5278,8.459
5058,fatiar,0,verb,5276,8.456
5059,passarinhar,0,verb,5276,8.456
5060,necessariamente,0,adv,5275,8.455
5061,judicial,0,adj,5275,8.455
5062,hastings,0,unk,5274,8.453
5063,abordagem,0,noun,5274,8.453
5064,jerusalém,0,unk,5273,8.451
5065,administrar,0,verb,5273,8.451
5066,cruzado,0,noun,5272,8.450
5067,aborto,0,noun,5269,8.445
5068,improvável,0,adj,5268,8.443
5069,xixi,0,unk,5267,8.442
5070,modesto,0,noun,5265,8.439
5071,ofendido,0,noun,5264,8.437
5072,anca,0,noun,5264,8.437
5073,ranger,0,verb,5263,8.435
5074,jr,0,unk,5262,8.434
5075,robinson,0,unk,5261,8.432
5076,gata,0,noun,5261,8.432
5077,adormecido,0,noun,5258,8.427
5078,aberta,0,noun,5257,8.426
5079,içar,0,verb,5256,8.424
5080,ellis,0,unk,5255,8.423
5081,cunhar,0,verb,5253,8.419
5082,devorar,0,verb,5253,8.419
5083,carroçar,0,verb,5248,8.411
5084,atlanta,0,noun,5247,8.410
5085,dixon,0,unk,5243,8.403
5086,silver,0,verb,5243,8.403
5087,bailarino,0,adj,5241,8.400
5088,maldade,0,noun,5240,8.399
5089,fracassar,0,verb,5238,8.395
5090,apunhalar,0,verb,5238,8.395
5091,ya,0,unk,5234,8.389
5092,cocó,0,unk,5234,8.389
5093,jacto,0,noun,5233,8.387
5094,cessar,0,verb,5233,8.387
5095,imundo,0,noun,5231,8.384
5096,duende,0,unk,5230,8.382
5097,varrer,0,verb,5230,8.382
5098,exausto,0,noun,5228,8.379
5099,orfanato,0,noun,5227,8.378
5100,melanie,0,unk,5226,8.376
5101,remorso,0,noun,5223,8.371
5102,invés,0,unk,5222,8.370
5103,inúmero,0,noun,5222,8.370
5104,corporação,0,noun,5220,8.366
5105,fôlego,0,noun,5218,8.363
5106,ansiedade,0,noun,5218,8.363
5107,claudia,0,noun,5212,8.354
5108,lateral,0,adj,5212,8.354
5109,esperma,0,noun,5211,8.352
5110,demissão,0,noun,5211,8.352
5111,consultório,0,noun,5210,8.350
5112,abençoado,0,noun,5207,8.346
5113,concedido,0,noun,5206,8.344
5114,jasper,0,verb,5205,8.342
5115,hills,0,unk,5203,8.339
5116,pope,0,unk,5199,8.333
5117,mangar,0,verb,5198,8.331
5118,aplauso,0,noun,5196,8.328
5119,limpa,0,noun,5194,8.325
5120,d c,1,mwe,5194,8.325
5121,sentimental,0,adj,5193,8.323
5122,eficiente,0,adj,5190,8.318
5123,válvula,0,noun,5190,8.318
5124,desvio,0,noun,5189,8.317
5125,robot,0,unk,5188,8.315
5126,correctamente,0,adv,5185,8.310
5127,gangue,0,unk,5183,8.307
5128,registado,0,noun,5181,8.304
5129,libertado,0,noun,5180,8.302
5130,campainha,0,adj,5175,8.294
5131,desnecessário,0,noun,5174,8.293
5132,vaughn,0,unk,5172,8.290
5133,oz,0,unk,5170,8.286
5134,baía,0,noun,5170,8.286
5135,limitado,0,noun,5169,8.285
5136,sabotar,0,verb,5167,8.282
5137,acolher,0,verb,5165,8.278
5138,absorver,0,verb,5162,8.273
5139,nolan,0,unk,5160,8.270
5140,legista,0,noun,5158,8.267
5141,morfina,0,adj,5156,8.264
5142,grandioso,0,adj,5156,8.264
5143,greve,0,unk,5155,8.262
5144,cheira,0,noun,5150,8.254
5145,desconhecer,0,verb,5150,8.254
5146,fundar,0,verb,5149,8.253
5147,iris,0,unk,5146,8.248
5148,resíduo,0,noun,5146,8.248
5149,pt,0,unk,5142,8.241
5150,sem-abrigo,0,noun,5142,8.241
5151,lente,0,adj,5142,8.241
5152,pílula,0,noun,5142,8.241
5153,elvis,0,unk,5141,8.240
5154,patife,0,unk,5141,8.240
5155,hugo,0,noun,5139,8.237
5156,seda,0,noun,5139,8.237
5157,suor,0,unk,5139,8.237
5158,connie,0,unk,5138,8.235
5159,pecador,0,noun,5136,8.232
5160,mastigar,0,verb,5134,8.229
5161,egípcio,0,noun,5133,8.227
5162,condenação,0,noun,5129,8.221
5163,aventura,0,noun,5127,8.217
5164,afiado,0,noun,5122,8.209
5165,bree,0,unk,5121,8.208
5166,casco,0,noun,5116,8.200
5167,aplicação,0,noun,5114,8.197
5168,distracção,0,noun,5113,8.195
5169,fevereiro,0,noun,5112,8.193
