rank	lemma	is_mwe	pos_guess	raw_freq	freq_per_million
1	o	0	det	58080476	93089.569
2	que	0	conj	22331398	35792.066
3	ser	0	verb	20583212	32990.128
4	não	0	adv	17877189	28652.999
5	de	0	prep	15454326	24769.710
6	um	0	det	13939891	22342.421
7	estar	0	verb	13186159	21134.363
8	ir	0	verb	11158634	17884.709
9	e	0	conj	10298394	16505.944
10	ter	0	verb	8678756	13910.038
11	ele	0	pron	8148257	13059.771
12	para	0	prep	7276630	11662.755
13	se	0	conj	6359084	10192.141
14	eu	0	pron	6268566	10047.061
15	me	0	pron	5772685	9252.279
16	por	0	prep	5433376	8708.445
17	meu	0	pron	4786011	7670.869
18	com	0	prep	4677526	7496.992
19	fazer	0	verb	4635935	7430.331
20	do	0	det	4494140	7203.067
21	poder	0	verb	4479589	7179.745
22	em	0	prep	4383904	7026.384
23	saber	0	verb	4300778	6893.152
24	te	0	pron	4143651	6641.314
25	dizer	0	verb	4129168	6618.101
26	isso	0	pron	4010264	6427.526
27	bem	0	adv	3675619	5891.167
28	mas	0	conj	3605237	5778.361
29	da	0	det	3452826	5534.081
30	como	0	adv	3285563	5265.998
31	este	0	pron	3129158	5015.316
32	querer	0	verb	3051162	4890.307
33	sim	0	adv	2839615	4551.246
34	mais	0	adv	2560942	4104.598
35	muito	0	adv	2527405	4050.846
36	seu	0	pron	2494326	3997.828
37	aqui	0	pron	2355954	3776.049
38	isto	0	pron	2252875	3610.838
39	teu	0	pron	2226321	3568.278
40	haver	0	verb	2109440	3380.944
41	todo	0	pron	2074295	3324.615
42	só	0	adv	1928186	3090.436
43	ver	0	verb	1859236	2979.925
44	já	0	adv	1853646	2970.966
45	coisa	0	noun	1819841	2916.784
46	à	0	det	1741554	2791.308
47	ao	0	det	1697509	2720.714
48	bom	0	intj	1676775	2687.482
49	vir	0	verb	1648118	2641.552
50	tudo	0	adj	1643404	2633.996
51	ficar	0	verb	1632784	2616.975
52	tu	0	pron	1628466	2610.054
53	porque	0	conj	1552629	2488.505
54	lhe	0	pron	1537335	2463.992
55	agora	0	adv	1524145	2442.852
56	dar	0	verb	1491053	2389.813
57	lá	0	pron	1481873	2375.100
58	quando	0	conj	1480793	2373.369
59	falar	0	verb	1475404	2364.731
60	esse	0	pron	1414329	2266.842
61	dever	0	verb	1409218	2258.650
62	não é	1	mwe	1350147	2163.973
63	deixar	0	verb	1330419	2132.354
64	onde	0	pron	1313877	2105.841
65	algum	0	pron	1311552	2102.114
66	quem	0	pron	1305278	2092.059
67	comigo	0	pron	1295202	2075.909
68	achar	0	verb	1294539	2074.847
69	então	0	conj	1280085	2051.680
70	nada	0	noun	1266285	2029.562
71	mesmo	0	pron	1239740	1987.016
72	ou	0	conj	1188694	1905.202
73	pensar	0	verb	1161945	1862.329
74	outro	0	pron	1161035	1860.871
75	esperar	0	verb	1155909	1852.655
76	vez	0	unk	1107575	1775.187
77	nosso	0	pron	1053173	1687.993
78	passar	0	verb	1047338	1678.641
79	nós	0	pron	993984	1593.126
80	dos	0	det	988351	1584.098
81	ouvir	0	verb	983107	1575.693
82	mim	0	pron	973164	1559.757
83	casa	0	noun	955310	1531.141
84	está bem	1	mwe	952160	1526.092
85	dia	0	noun	945705	1515.746
86	nunca	0	adv	924682	1482.051
87	tempo	0	noun	920364	1475.131
88	até	0	prep	905560	1451.403
89	dele	0	pron	905442	1451.214
90	homem	0	unk	897617	1438.672
91	parecer	0	verb	896861	1437.461
92	senhor	0	unk	880935	1411.935
93	assim	0	conj	877507	1406.441
94	ainda	0	adv	865820	1387.709
95	encontrar	0	verb	842325	1350.052
96	ajudar	0	verb	832141	1333.730
97	pai	0	unk	832036	1333.561
98	precisar	0	verb	829845	1330.050
99	ano	0	adj	823814	1320.383
100	dois	0	num	820772	1315.508
101	conseguir	0	verb	815759	1307.473
102	quê	0	unk	801376	1284.420
103	pessoa	0	noun	798641	1280.037
104	também	0	conj	796888	1277.227
105	favor	0	unk	792226	1269.755
106	obrigar	0	verb	777217	1245.699
107	sobre	0	prep	770485	1234.909
108	quer	0	verb	765312	1226.618
109	aquele	0	pron	755478	1210.856
110	deus	0	unk	749822	1201.791
111	filho	0	noun	745709	1195.199
112	melhor	0	adv	742057	1189.346
113	ti	0	pron	734415	1177.097
114	tão	0	adv	730496	1170.816
115	noite	0	unk	729433	1169.112
116	matar	0	verb	727110	1165.389
117	depois	0	adv	725703	1163.134
118	mãe	0	unk	723982	1160.376
119	acontecer	0	verb	722792	1158.468
120	talvez	0	adv	708106	1134.930
121	sair	0	verb	703478	1127.513
122	andar	0	verb	703369	1127.338
123	olá	0	intj	703258	1127.160
124	tinha	0	adj	701520	1124.374
125	por favor	1	mwe	695106	1114.094
126	sempre	0	adv	691209	1107.848
127	levar	0	verb	687923	1102.581
128	amigo	0	noun	687028	1101.147
129	voltar	0	verb	685992	1099.487
130	sr	0	unk	683304	1095.178
131	chegar	0	verb	680592	1090.832
132	certo	0	noun	680367	1090.471
133	nem	0	conj	677796	1086.350
134	olhar	0	verb	677462	1085.815
135	alguém	0	unk	675151	1082.111
136	acabar	0	verb	663919	1064.109
137	vida	0	noun	661021	1059.464
138	gostar	0	verb	657740	1054.205
139	sentir	0	verb	652403	1045.651
140	sem	0	prep	648519	1039.426
141	conhecer	0	verb	646591	1036.336
142	tentar	0	verb	638540	1023.432
143	das	0	det	622236	997.300
144	tipo	0	noun	604657	969.125
145	ela	0	pron	597052	956.936
146	chamar	0	verb	572631	917.795
147	novo	0	noun	569792	913.245
148	preciso	0	noun	567472	909.526
149	parar	0	verb	565667	906.633
150	algo	0	noun	565020	905.596
151	claro	0	noun	564769	905.194
152	partir	0	verb	564097	904.117
153	morrer	0	verb	562448	901.474
154	pedir	0	verb	547787	877.976
155	contar	0	verb	540887	866.917
156	rapaz	0	unk	540496	866.290
157	verdade	0	noun	528873	847.661
158	primeiro	0	num	527506	845.470
159	mulher	0	verb	526102	843.220
160	antes	0	adv	525283	841.907
161	grande	0	unk	524689	840.955
162	trabalho	0	noun	506932	812.495
163	hora	0	noun	504249	808.195
164	ninguém	0	unk	502778	805.837
165	vão	0	noun	501751	804.191
166	entrar	0	verb	499568	800.692
167	apenas	0	adv	495674	794.451
168	acreditar	0	verb	490299	785.836
169	aí	0	pron	485558	778.237
170	começar	0	verb	483669	775.210
171	pouco	0	adv	481075	771.052
172	problema	0	noun	476896	764.354
173	quanto	0	pron	472801	757.791
174	desculpa	0	noun	468445	750.809
175	qual	0	pron	466241	747.276
176	pois	0	conj	460893	738.705
177	eu sei	1	mwe	450697	722.363
178	querido	0	noun	443587	710.967
179	dela	0	pron	442198	708.741
180	tudo bem	1	mwe	440216	705.564
181	qualquer	0	pron	439595	704.569
182	dinheiro	0	noun	439575	704.537
183	lembrar	0	verb	436047	698.882
184	usar	0	verb	426210	683.116
185	vá	0	unk	422929	677.857
186	nome	0	unk	422146	676.602
187	cá	0	pron	419586	672.499
188	irmão	0	noun	412423	661.019
189	daqui	0	unk	410164	657.398
190	trabalhar	0	verb	407674	653.407
191	perder	0	verb	406896	652.160
192	ligar	0	verb	405058	649.214
193	sério	0	noun	394150	631.731
194	alguma coisa	1	mwe	393128	630.093
