rank	lemma	is_mwe	pos	raw_freq	freq_per_million
5001	neta	0	noun	4502	7.076
5002	partilha	0	noun	4501	7.075
5003	bicha	0	noun	4500	7.073
5004	traço	0	noun	4497	7.068
5005	nevoeiro	0	noun	4496	7.067
5006	campus	0	noun	4494	7.064
5007	desenterrar	0	verb	4492	7.061
5008	renovar	0	verb	4491	7.059
5009	integrar	0	verb	4490	7.057
5010	tentação	0	noun	4489	7.056
5011	ética	0	noun	4489	7.056
5012	equilibrar	0	verb	4488	7.054
5013	regimento	0	noun	4488	7.054
5014	zoológico	0	noun	4486	7.051
5015	happy	0	noun	4485	7.050
5016	labirinto	0	noun	4482	7.045
5017	disputa	0	noun	4481	7.043
5018	distribuição	0	noun	4481	7.043
5019	literatura	0	noun	4480	7.042
5020	lote	0	noun	4475	7.034
5021	vigarista	0	noun	4474	7.032
5022	costeiro	0	noun	4473	7.031
5023	peludo	0	adj	4473	7.031
5024	carregador	0	noun	4472	7.029
5025	descontrolado	0	adj	4472	7.029
5026	oposto	0	noun	4472	7.029
5027	embalar	0	verb	4471	7.028
5028	patriota	0	noun	4470	7.026
5029	doçura	0	noun	4469	7.024
5030	falsificar	0	verb	4467	7.021
5031	criada	0	noun	4465	7.018
5032	punhal	0	noun	4465	7.018
5033	ranger	0	noun	4465	7.018
5034	saborear	0	verb	4465	7.018
5035	rebelião	0	noun	4462	7.013
5036	província	0	noun	4461	7.012
5037	chantagem	0	noun	4455	7.002
5038	equação	0	noun	4455	7.002
5039	prolongar	0	verb	4450	6.994
5040	vibração	0	noun	4449	6.993
5041	colmeia	0	noun	4447	6.990
5042	reinar	0	verb	4445	6.987
5043	aproximação	0	noun	4444	6.985
5044	retorno	0	noun	4442	6.982
5045	psicólogo	0	noun	4440	6.979
5046	nódoa	0	noun	4437	6.974
5047	expirar	0	verb	4435	6.971
5048	ingénuo	0	adj	4434	6.969
5049	vulcão	0	noun	4434	6.969
5050	compreensão	0	noun	4433	6.968
5051	infetado	0	verb	4433	6.968
5052	falência	0	noun	4432	6.966
5053	imortal	0	adj	4432	6.966
5054	cunhado	0	noun	4431	6.965
5055	escuteiro	0	noun	4431	6.965
5056	docinho	0	noun	4430	6.963
5057	esqueleto	0	noun	4430	6.963
5058	gigantesco	0	adj	4429	6.961
5059	roll	0	noun	4429	6.961
5060	vómito	0	noun	4426	6.957
5061	abalar	0	verb	4425	6.955
