rank,lemma,is_mwe,pos,raw_freq,freq_per_million
1,o,0,det,29886324,46975.236
2,ser,0,verb,21333772,33532.360
3,não,0,adv,17987071,28272.025
4,que,0,conj,16526745,25976.689
5,de,0,prep,15387769,24186.450
6,estar,0,verb,14117907,22190.485
7,um,0,det,13939973,21910.808
8,a,0,det,12392743,19478.877
9,e,0,conj,10307063,16200.611
10,a,0,prep,10188760,16014.663
11,ter,0,verb,9540174,14995.217
12,ir,0,verb,9022994,14182.315
13,para,0,prep,7212230,11336.162
14,eu,0,pron,6283025,9875.640
15,que,0,pron,5808269,9129.420
16,me,0,pron,5793639,9106.425
17,fazer,0,verb,5237948,8232.991
18,meu,0,det,4786037,7522.679
19,com,0,prep,4680215,7356.348
20,do,0,det,4494215,7063.994
21,poder,0,verb,4486637,7052.083
22,saber,0,verb,4383018,6889.215
23,dizer,0,verb,4249683,6679.639
24,por,0,prep,4233048,6653.492
25,te,0,pron,4163718,6544.520
26,o que,1,mwe,4106151,6454.036
27,ele,0,pron,3858225,6064.347
28,querer,0,verb,3816304,5998.455
29,bem,0,adv,3665474,5761.381
30,em,0,prep,3631664,5708.239
31,mas,0,conj,3602861,5662.966
32,se,0,conj,3568058,5608.263
33,da,0,det,3452869,5427.209
34,isso,0,pron,3438881,5405.223
35,como,0,adv,3286110,5165.098
36,sim,0,adv,2841228,4465.834
37,no,0,det,2814836,4424.351
38,se,0,pron,2803474,4406.492
39,mais,0,adv,2561130,4025.577
40,na,0,det,2540096,3992.515
41,muito,0,adv,2522085,3964.206
42,seu,0,det,2494551,3920.928
43,ver,0,verb,2427308,3815.236
44,aqui,0,adv,2361874,3712.387
45,haver,0,verb,2136668,3358.408
46,isto,0,pron,2064801,3245.448
47,ela,0,pron,2046466,3216.629
48,já,0,adv,1865857,2932.749
49,coisa,0,noun,1811165,2846.784
50,à,0,det,1741554,2737.369
51,só,0,adv,1727109,2714.665
52,nos,0,det,1714773,2695.275
53,ao,0,det,1698378,2669.506
54,bom,0,adj,1679944,2640.531
55,tudo,0,pron,1643479,2583.215
56,tu,0,pron,1635437,2570.575
57,ficar,0,verb,1633494,2567.521
58,dar,0,verb,1632869,2566.539
59,vir,0,verb,1629666,2561.504
60,achar,0,verb,1599470,2514.042
61,este,0,det,1592813,2503.579
62,porque,0,conj,1553081,2441.128
63,falar,0,verb,1547221,2431.917
64,agora,0,adv,1524247,2395.807
65,lá,0,adv,1483976,2332.509
66,é que,1,mwe,1462674,2299.027
67,todo,0,det,1426415,2242.035
68,dever,0,noun,1412889,2220.775
69,precisar,0,verb,1397651,2196.824
