rank,lemma,is_mwe,pos,raw_freq,freq_per_million
1,o,0,det,29933812,47022.672
84,teu,0,det,1131125,1776.871
167,mulher,0,noun,525217,825.057
250,arma,0,noun,323021,507.430
333,sozinho,0,adj,216830,340.616
416,outra vez,1,mwe,162329,255.001
499,miúda,0,noun,130171,204.484
582,bola,0,noun,105528,165.773
665,segredo,0,noun,87178,136.947
748,braço,0,noun,74832,117.553
831,após,0,prep,65730,103.254
914,mar,0,noun,58869,92.477
997,naquele,0,det,53209,83.585
1080,ir embora,1,mwe,47881,75.216
1163,carrinha,0,noun,43406,68.186
1246,rezar,0,verb,39710,62.380
1329,quebrar,0,verb,35881,56.365
1412,rato,0,noun,32443,50.964
1495,sorrir,0,verb,30066,47.230
1578,artigo,0,noun,28110,44.158
1661,péssimo,0,adj,25975,40.804
1744,neve,0,noun,24610,38.660
1827,sociedade,0,noun,23012,36.149
1910,ligado,0,adj,21716,34.113
1993,pobre,0,noun,20374,32.005
2076,bota,0,noun,19100,30.004
2159,garagem,0,noun,18069,28.384
2242,jesus cristo,1,mwe,17107,26.873
2325,instinto,0,noun,16206,25.458
2408,confundir,0,verb,15470,24.302
2491,figura,0,noun,14686,23.070
2574,queixar,0,verb,13934,21.889
2657,teria sido,1,mwe,13197,20.731
2740,parente,0,noun,12622,19.828
2823,prazer conhecer,1,mwe,12023,18.887
2906,huh,0,intj,11515,18.089
2989,geralmente,0,adv,10997,17.275
3072,alimento,0,noun,10527,16.537
3155,ilusão,0,noun,10056,15.797
3238,eternidade,0,noun,9613,15.101
3321,justificar,0,verb,9159,14.388
3404,servidor,0,noun,8818,13.852
3487,flutuar,0,verb,8503,13.357
3570,ataque cardíaco,1,mwe,8196,12.875
3653,complicar,0,verb,7896,12.404
3736,dentista,0,noun,7615,11.962
3819,volante,0,noun,7339,11.529
3902,troféu,0,noun,7077,11.117
3985,aturar,0,verb,6801,10.684
4068,calibre,0,noun,6563,10.310
4151,paramédico,0,noun,6340,9.959
4234,vapor,0,noun,6132,9.633
4317,empresário,0,noun,5881,9.238
4400,convincente,0,adj,5698,8.951
4483,qualificar,0,verb,5499,8.638
4566,realizador,0,noun,5347,8.400
4649,esplêndido,0,adj,5156,8.099
4732,morango,0,noun,4986,7.832
4815,chantagear,0,verb,4798,7.537
4898,hóquei,0,noun,4674,7.342
4981,corretor,0,noun,4532,7.119
