# Lemmas filtered out by the proper-noun/OOV heuristic.
# Sorted desc by raw count -- review to rescue any false positives.
# count	lemma	cap_ratio	reason
95931	mr	0.985	cap_ratio=0.99, oov
73529	charlie	0.995	cap_ratio=0.99, oov
71226	peter	1.000	cap_ratio=1.00, oov
69907	mike	0.997	cap_ratio=1.00, oov
67004	joe	0.998	cap_ratio=1.00, oov
53605	ben	0.996	cap_ratio=1.00, oov
51586	harry	0.999	cap_ratio=1.00, oov
50501	alex	0.996	cap_ratio=1.00, oov
47911	jimmy	0.998	cap_ratio=1.00, oov
46003	c	0.946	cap_ratio=0.95, oov
45589	d	0.926	cap_ratio=0.93, oov
45224	b	0.960	cap_ratio=0.96, oov
45039	danny	0.999	cap_ratio=1.00, oov
43542	bob	0.998	cap_ratio=1.00, oov
43300	jim	0.999	cap_ratio=1.00, oov
43252	miss	0.962	cap_ratio=0.96, oov
42857	jake	0.998	cap_ratio=1.00, oov
42565	ray	0.999	cap_ratio=1.00, oov
39115	tommy	0.999	cap_ratio=1.00, oov
37757	will	0.963	cap_ratio=0.96, oov
36287	billy	0.992	cap_ratio=0.99, oov
36280	johnny	0.999	cap_ratio=1.00, oov
35591	bobby	0.997	cap_ratio=1.00, oov
33179	steve	0.999	cap_ratio=1.00, oov
33037	chris	0.998	cap_ratio=1.00, oov
31888	eddie	0.998	cap_ratio=1.00, oov
31614	brian	0.999	cap_ratio=1.00, oov
31175	ryan	0.998	cap_ratio=1.00, oov
31090	kate	0.998	cap_ratio=1.00, oov
29885	chuck	0.998	cap_ratio=1.00, oov
29822	j	0.987	cap_ratio=0.99, oov
29531	lee	0.997	cap_ratio=1.00, oov
29487	eric	0.999	cap_ratio=1.00, oov
29486	kevin	0.999	cap_ratio=1.00, oov
28312	jerry	0.997	cap_ratio=1.00, oov
27941	jason	0.999	cap_ratio=1.00, oov
27564	matt	0.999	cap_ratio=1.00, oov
27179	t	0.929	cap_ratio=0.93, oov
26208	emily	0.997	cap_ratio=1.00, oov
26163	anna	0.999	cap_ratio=1.00, oov
26076	amy	1.000	cap_ratio=1.00, oov
26058	mrs	0.982	cap_ratio=0.98, oov
25963	dave	0.999	cap_ratio=1.00, oov
25708	ted	1.000	cap_ratio=1.00, oov
25297	luke	0.999	cap_ratio=1.00, oov
25187	hank	1.000	cap_ratio=1.00, oov
24955	dean	1.000	cap_ratio=1.00, oov
24955	pete	0.999	cap_ratio=1.00, oov
23898	emma	0.999	cap_ratio=1.00, oov
23349	carter	0.998	cap_ratio=1.00, oov
23206	arthur	1.000	cap_ratio=1.00, oov
22891	sean	0.999	cap_ratio=1.00, oov
22383	ed	0.920	cap_ratio=0.92, oov
22306	jones	1.000	cap_ratio=1.00, oov
22254	kyle	0.994	cap_ratio=0.99, oov
22025	red	0.988	cap_ratio=0.99, oov
21686	lily	0.996	cap_ratio=1.00, oov
21679	al	0.913	cap_ratio=0.91, oov
21533	lucy	0.999	cap_ratio=1.00, oov
21301	barry	0.999	cap_ratio=1.00, oov
20890	karen	0.993	cap_ratio=0.99, oov
20865	maggie	1.000	cap_ratio=1.00, oov
20658	annie	0.998	cap_ratio=1.00, oov
20581	rick	0.997	cap_ratio=1.00, oov
20499	vegas	0.997	cap_ratio=1.00, oov
20474	joey	0.999	cap_ratio=1.00, oov
20460	new	0.985	cap_ratio=0.98, oov
20231	larry	0.998	cap_ratio=1.00, oov
19884	kelly	0.987	cap_ratio=0.99, oov
19733	big	0.964	cap_ratio=0.96, oov
19413	alan	0.996	cap_ratio=1.00, oov
19262	grace	0.996	cap_ratio=1.00, oov
19029	jesse	1.000	cap_ratio=1.00, oov
18848	harvey	1.000	cap_ratio=1.00, oov
18708	street	0.984	cap_ratio=0.98, oov
18668	josh	0.999	cap_ratio=1.00, oov
18445	chloe	1.000	cap_ratio=1.00, oov
17921	leo	0.998	cap_ratio=1.00, oov
17902	st	0.977	cap_ratio=0.98, oov
17745	g	0.934	cap_ratio=0.93, oov
17734	kim	0.998	cap_ratio=1.00, oov
17575	tyler	0.992	cap_ratio=0.99, oov
17400	elizabeth	0.995	cap_ratio=0.99, oov
17341	abby	1.000	cap_ratio=1.00, oov
17244	amanda	0.999	cap_ratio=1.00, oov
17196	lady	0.955	cap_ratio=0.95, oov
17196	lois	0.999	cap_ratio=1.00, oov
17139	roger	0.996	cap_ratio=1.00, oov
17084	jeff	0.998	cap_ratio=1.00, oov
16916	ethan	1.000	cap_ratio=1.00, oov
16834	wayne	0.999	cap_ratio=1.00, oov
16700	pt-subs	0.988	cap_ratio=0.99, oov
16536	gary	0.999	cap_ratio=1.00, oov
