rank,lemma,is_mwe,pos_guess,raw_freq,freq_per_million
5001,ingrediente,0,adj,5081,8.144
5002,definição,0,noun,5080,8.142
5003,porno,0,noun,5080,8.142
5004,altar,0,verb,5078,8.139
5005,concorrer,0,verb,5078,8.139
5006,disputar,0,verb,5076,8.136
5007,chef,0,unk,5070,8.126
5008,cigano,0,adj,5070,8.126
5009,deduzir,0,verb,5069,8.125
5010,honestidade,0,noun,5069,8.125
5011,indefeso,0,unk,5066,8.120
5012,gaiola,0,noun,5059,8.109
5013,desfeito,0,noun,5058,8.107
5014,reconsiderar,0,verb,5058,8.107
5015,ponto final,1,mwe,5056,8.104
5016,anual,0,adj,5055,8.102
5017,iate,0,unk,5053,8.099
5018,recomendação,0,noun,5051,8.096
5019,concreto,0,noun,5045,8.086
5020,cultivar,0,verb,5040,8.078
5021,furar,0,verb,5040,8.078
5022,thor,0,unk,5040,8.078
5023,monitorizar,0,verb,5036,8.072
5024,válido,0,noun,5035,8.070
5025,esplêndido,0,noun,5034,8.068
5026,deu-te,0,unk,5030,8.062
5027,bébé,0,unk,5028,8.059
5028,hudson,0,unk,5023,8.051
5029,terramoto,0,noun,5021,8.048
5030,política,0,adj,5020,8.046
5031,rodado,0,noun,5018,8.043
5032,patente,0,adj,5015,8.038
5033,flechar,0,verb,5014,8.036
5034,formal,0,adj,5013,8.035
5035,insecto,0,noun,5009,8.028
5036,restrito,0,noun,5008,8.027
5037,isolado,0,noun,5007,8.025
5038,claque,0,unk,5006,8.024
5039,veterinário,0,noun,5006,8.024
5040,feriado,0,noun,5005,8.022
5041,escotilha,0,noun,5004,8.020
5042,aleatório,0,noun,5003,8.019
5043,enervar,0,verb,5002,8.017
5044,cortina,0,adj,5000,8.014
5045,nasa,0,noun,5000,8.014
5046,artilharia,0,noun,4994,8.004
5047,marijuana,0,adj,4993,8.003
5048,desobedecer,0,verb,4991,8.000
5049,ooh,0,unk,4991,8.000
5050,cenoura,0,noun,4989,7.996
5051,congelado,0,noun,4989,7.996
5052,manda,0,noun,4987,7.993
5053,morango,0,noun,4986,7.992
5054,dvd,0,unk,4985,7.990
5055,irlanda,0,noun,4981,7.984
5056,facebook,0,unk,4977,7.977
5057,indicação,0,noun,4976,7.975
5058,húmido,0,noun,4970,7.966
5059,precipitar,0,verb,4966,7.959
5060,endireitar,0,verb,4965,7.958
5061,pontaria,0,noun,4961,7.951
5062,fêmeo,0,noun,4959,7.948
5063,bernard,0,unk,4956,7.943
5064,moore,0,unk,4955,7.942
5065,poeira,0,noun,4951,7.935
5066,frankenstein,0,unk,4947,7.929
5067,providenciar,0,verb,4947,7.929
5068,amo-a,0,unk,4943,7.923
5069,corrido,0,noun,4936,7.911
5070,virtude,0,noun,4936,7.911
5071,revelação,0,noun,4933,7.907
5072,sinistro,0,noun,4933,7.907
5073,urinar,0,verb,4932,7.905
5074,asneira,0,noun,4929,7.900
5075,atalho,0,noun,4927,7.897
5076,interruptor,0,unk,4925,7.894
5077,passatempo,0,noun,4924,7.892
5078,jipe,0,unk,4920,7.886
5079,sandra,0,noun,4920,7.886
5080,coro,0,noun,4919,7.884
5081,estadual,0,adj,4917,7.881
5082,trégua,0,noun,4917,7.881
5083,marcel,0,adj,4916,7.879
5084,legalmente,0,adv,4915,7.878
5085,telegrama,0,noun,4911,7.871
5086,tóquio,0,noun,4911,7.871
5087,farmácia,0,noun,4907,7.865
5088,fiz-te,0,unk,4907,7.865
5089,serra,0,noun,4905,7.862
5090,vitimar,0,verb,4899,7.852
5091,corrupção,0,noun,4896,7.847
5092,sonda,0,noun,4896,7.847
5093,confirmado,0,noun,4895,7.846
5094,táctica,0,adj,4893,7.842
