rank	lemma	is_mwe	pos_guess	raw_freq	freq_per_million
1	o	0	det	56237684	90137.270
2	ser	0	verb	23193190	37173.843
3	que	0	conj	22339420	35805.428
4	não	0	adv	17927251	28733.642
5	de	0	prep	15387163	24662.411
6	estar	0	verb	13406617	21488.009
7	e	0	conj	10295819	16502.049
8	do	0	det	9556028	15316.318
9	ter	0	verb	9253483	14831.402
10	ir	0	verb	9150272	14665.976
11	um	0	det	8047190	12897.966
12	para	0	prep	7273156	11657.351
13	ele	0	pron	6881157	11029.058
14	eu	0	pron	6276670	10060.192
15	uma	0	noun	5734772	9191.643
16	fazer	0	verb	4791042	7679.040
17	meu	0	pron	4786029	7671.006
18	se	0	conj	4707903	7545.786
19	com	0	prep	4677539	7497.119
20	poder	0	verb	4479503	7179.708
21	saber	0	verb	4299844	6891.752
22	por	0	prep	4228889	6778.026
23	o que	1	mwe	4104678	6578.942
24	dizer	0	verb	3946345	6325.167
25	bem	0	adv	3675637	5891.279
26	em	0	prep	3653773	5856.236
27	mas	0	conj	3602828	5774.581
28	isso	0	pron	3438865	5511.783
29	como	0	adv	3285608	5266.144
30	querer	0	verb	3052559	4892.615
31	sim	0	adv	2839627	4551.329
32	mais	0	adv	2560955	4104.676
33	muito	0	adv	2522053	4042.325
34	ao	0	det	2374318	3805.536
35	aqui	0	pron	2355966	3776.122
36	este	0	pron	2343030	3755.388
37	me	0	pron	2285567	3663.287
38	ver	0	verb	2264996	3630.316
39	haver	0	verb	2116591	3392.454
40	todo	0	pron	2074308	3324.683
41	isto	0	pron	2064783	3309.416
42	só	0	adv	1928198	3090.499
43	já	0	adv	1853636	2970.992
44	coisa	0	noun	1819844	2916.830
45	à	0	det	1741554	2791.348
46	te	0	pron	1699652	2724.187
47	bom	0	intj	1681855	2695.663
48	tudo	0	adj	1643412	2634.046
49	ficar	0	verb	1632800	2617.038
50	tu	0	pron	1628477	2610.109
51	porque	0	conj	1552691	2488.640
52	agora	0	adv	1524160	2442.910
53	lá	0	pron	1481862	2375.115
54	quando	0	conj	1480828	2373.458
55	falar	0	verb	1475473	2364.875
56	é que	1	mwe	1462674	2344.361
57	dever	0	verb	1409177	2258.617
58	não é	1	mwe	1350152	2164.012
59	deixar	0	verb	1344697	2155.269
60	seu	0	pron	1336147	2141.565
61	vir	0	verb	1335379	2140.334
62	onde	0	pron	1313879	2105.874
63	algum	0	pron	1311557	2102.152
64	quem	0	pron	1305285	2092.099
65	achar	0	verb	1295130	2075.823
66	pensar	0	verb	1285061	2059.685
67	então	0	conj	1280096	2051.727
68	dar	0	verb	1279083	2050.103
69	nada	0	noun	1266291	2029.600
70	é o	1	mwe	1241823	1990.383
71	mesmo	0	pron	1239748	1987.057
72	ou	0	conj	1188655	1905.166
73	conseguir	0	verb	1167205	1870.786
74	outro	0	pron	1161044	1860.911
75	esperar	0	verb	1156232	1853.199
76	teu	0	pron	1131125	1812.957
77	que não	1	mwe	1128481	1808.720
78	o meu	1	mwe	1113764	1785.131
79	vez	0	unk	1107554	1775.178
80	esse	0	pron	1093299	1752.330
81	pelar	0	verb	1092252	1750.652
82	passar	0	verb	1047563	1679.025
83	nós	0	pron	994000	1593.175
84	ouvir	0	verb	985375	1579.350
85	mim	0	pron	973045	1559.588
86	tua	0	noun	964395	1545.724
87	sua	0	noun	961784	1541.539
88	casa	0	noun	955333	1531.199
89	está bem	1	mwe	952160	1526.114
90	dia	0	noun	945696	1515.753
91	comigo	0	pron	943997	1513.030
92	nunca	0	adv	924693	1482.090
93	tempo	0	noun	920371	1475.163
94	até	0	prep	907917	1455.201
95	homem	0	noun	897621	1438.699
96	parecer	0	verb	896903	1437.548
97	nosso	0	pron	882029	1413.708
98	assim	0	conj	877508	1406.462
99	ainda	0	adv	865825	1387.737
100	sair	0	verb	856039	1372.052
101	encontrar	0	verb	851829	1365.304
102	é um	1	mwe	851394	1364.607
103	ajudar	0	verb	834044	1336.798
104	pai	0	unk	832235	1333.899
105	precisar	0	verb	829817	1330.023
106	ano	0	unk	823623	1320.096
107	senhor	0	unk	823474	1319.857
108	dois	0	num	820786	1315.549
109	quê	0	unk	801351	1284.398
110	pessoa	0	noun	798644	1280.060
111	também	0	conj	797102	1277.588
112	favor	0	unk	792229	1269.778
113	obrigar	0	verb	777891	1246.797
114	sobre	0	prep	770490	1234.935
115	olhar	0	verb	766434	1228.434
116	quer	0	verb	765311	1226.634
117	sentir	0	verb	752870	1206.693
