rank,lemma,is_mwe,pos_guess,raw_freq,freq_per_million
1,o,0,det,56237684,90137.270
84,ouvir,0,verb,985375,1579.350
167,hora,0,noun,504258,808.220
250,miúdo,0,noun,289888,464.630
333,dr,0,unk,203404,326.014
416,calar,0,verb,150206,240.749
499,porra,0,noun,122754,196.749
582,livre,0,unk,100938,161.783
665,animal,0,adj,85143,136.466
748,máquina,0,adj,73410,117.661
831,quente,0,adj,64027,102.622
914,engraçar,0,verb,57273,91.797
997,parceiro,0,noun,52326,83.868
1080,defesa,0,adj,46685,74.826
1163,informar,0,verb,42911,68.777
1246,justiça,0,noun,39523,63.347
1329,partido,0,noun,35874,57.499
1412,director,0,unk,32750,52.491
1495,assustador,0,noun,30242,48.472
1578,permanecer,0,verb,28234,45.253
1661,pintar,0,verb,26544,42.544
1744,cheque,0,unk,25252,40.474
1827,irritar,0,verb,23819,38.177
1910,correio,0,noun,22584,36.197
1993,espelho,0,noun,21426,34.341
2076,necessitar,0,verb,20025,32.096
2159,pó,0,unk,18925,30.333
2242,vela,0,noun,17814,28.552
2325,incidente,0,adj,17059,27.342
2408,funcionário,0,noun,16323,26.162
2491,cobarde,0,noun,15528,24.888
2574,figura,0,noun,14834,23.776
2657,vê-los,0,unk,14145,22.671
2740,eva,0,noun,13423,21.514
2823,encarar,0,verb,12808,20.529
2906,imaginação,0,noun,12372,19.830
2989,davis,0,unk,11814,18.935
3072,colina,0,adj,11365,18.216
3155,aborrecer,0,verb,10828,17.355
3238,tchau,0,intj,10386,16.647
3321,masculino,0,adj,9974,15.986
3404,terço,0,noun,9529,15.273
3487,gerador,0,noun,9115,14.609
3570,dar-lhes,0,unk,8826,14.146
3653,agente especial,1,mwe,8567,13.731
3736,tartaruga,0,noun,8258,13.236
3819,dinossauro,0,noun,7941,12.728
3902,esticar,0,verb,7681,12.311
3985,salve,0,unk,7438,11.922
4068,glorioso,0,adj,7155,11.468
4151,encorajar,0,verb,6928,11.104
4234,tendência,0,noun,6740,10.803
4317,liberdade condicional,1,mwe,6545,10.490
4400,suicida,0,noun,6325,10.138
4483,blá,0,unk,6125,9.817
4566,roupa interior,1,mwe,5936,9.514
4649,relevante,0,unk,5750,9.216
4732,mayor,0,unk,5553,8.900
4815,orientar,0,verb,5406,8.665
4898,cunhar,0,verb,5255,8.423
4981,pipoca,0,noun,5109,8.189
