# Lemmas filtered out by the proper-noun/OOV heuristic.
# Sorted desc by raw count -- review to rescue any false positives.
# Truncated to entries with >= 100 occurrences: 18,749 of 251,898. The full list is written next to
# this file as *_full.txt and is not committed.
# count	lemma	cap_ratio	reason
743244	deus	0.961	cap_ratio=0.96
546304	sr	0.950	cap_ratio=0.95
160921	dr	0.984	cap_ratio=0.98
132092	john	0.998	cap_ratio=1.00
132024	jack	0.997	cap_ratio=1.00
129022	sra	0.960	cap_ratio=0.96
97312	sam	0.998	cap_ratio=1.00
95934	mr	0.985	cap_ratio=0.99, oov
84241	michael	0.994	cap_ratio=0.99
80763	natal	0.895	cap_ratio=0.90
78342	frank	0.999	cap_ratio=1.00
76218	jesus	0.996	cap_ratio=1.00
73591	charlie	0.995	cap_ratio=0.99, oov
71231	peter	1.000	cap_ratio=1.00, oov
69955	mike	0.997	cap_ratio=1.00, oov
68048	fbi	0.973	cap_ratio=0.97
67601	joe	0.998	cap_ratio=1.00, oov
67169	david	0.998	cap_ratio=1.00
59941	george	0.999	cap_ratio=1.00
58380	james	0.999	cap_ratio=1.00
53610	ben	0.996	cap_ratio=1.00, oov
51609	harry	0.999	cap_ratio=1.00, oov
50638	iorque	0.999	cap_ratio=1.00
50617	alex	0.996	cap_ratio=1.00, oov
50432	américa	0.997	cap_ratio=1.00
48921	henry	0.999	cap_ratio=1.00
48472	max	0.998	cap_ratio=1.00
48176	nick	0.990	cap_ratio=0.99
47926	jimmy	0.998	cap_ratio=1.00, oov
47633	c	0.946	cap_ratio=0.95, oov
47573	paul	0.994	cap_ratio=0.99
45595	d	0.926	cap_ratio=0.93, oov
45424	bill	0.993	cap_ratio=0.99
45234	b	0.960	cap_ratio=0.96, oov
45044	danny	0.999	cap_ratio=1.00, oov
44949	mary	0.998	cap_ratio=1.00
44399	sarah	0.999	cap_ratio=1.00
43991	majestade	0.918	cap_ratio=0.92
43611	bob	0.998	cap_ratio=1.00, oov
43309	jim	0.999	cap_ratio=1.00, oov
43142	jake	0.998	cap_ratio=1.00, oov
42927	i	0.896	cap_ratio=0.90, oov
42878	dra	0.987	cap_ratio=0.99, oov
42628	ray	0.999	cap_ratio=1.00, oov
40159	tony	0.998	cap_ratio=1.00
39137	tommy	0.999	cap_ratio=1.00, oov
38890	paris	0.997	cap_ratio=1.00
38514	walter	0.996	cap_ratio=1.00
37765	will	0.963	cap_ratio=0.96, oov
37306	londres	0.998	cap_ratio=1.00
37007	richard	0.999	cap_ratio=1.00
36337	johnny	0.999	cap_ratio=1.00, oov
36292	billy	0.992	cap_ratio=0.99, oov
36135	robert	1.000	cap_ratio=1.00
35625	bobby	0.997	cap_ratio=1.00, oov
34974	william	0.980	cap_ratio=0.98
34510	cristo	0.988	cap_ratio=0.99
33752	steve	0.999	cap_ratio=1.00, oov
33377	claire	0.996	cap_ratio=1.00
33235	mark	0.996	cap_ratio=1.00
32320	washington	0.998	cap_ratio=1.00
32165	jane	0.997	cap_ratio=1.00
31969	eddie	0.998	cap_ratio=1.00, oov
31704	maria	0.992	cap_ratio=0.99
31636	brian	0.999	cap_ratio=1.00, oov
31212	ryan	0.998	cap_ratio=1.00, oov
31205	kate	0.998	cap_ratio=1.00, oov
31200	daniel	0.997	cap_ratio=1.00
31040	charles	0.994	cap_ratio=0.99
30786	tv	0.950	cap_ratio=0.95
29901	chuck	0.998	cap_ratio=1.00, oov
29832	j	0.987	cap_ratio=0.99, oov
29582	lee	0.997	cap_ratio=1.00, oov
29562	eua	0.999	cap_ratio=1.00
29503	kevin	0.999	cap_ratio=1.00, oov
29500	eric	0.999	cap_ratio=1.00, oov
29338	scott	0.998	cap_ratio=1.00
29282	cia	0.980	cap_ratio=0.98, oov
28884	rachel	0.999	cap_ratio=1.00
28556	clark	0.999	cap_ratio=1.00
28373	roma	0.998	cap_ratio=1.00
28340	jerry	0.997	cap_ratio=1.00, oov
28073	martin	0.998	cap_ratio=1.00
27980	jason	0.999	cap_ratio=1.00, oov
27569	matt	0.999	cap_ratio=1.00, oov
27502	l	0.898	cap_ratio=0.90, oov
27300	lisa	0.946	cap_ratio=0.95
27201	t	0.929	cap_ratio=0.93, oov
27135	inglaterra	0.990	cap_ratio=0.99
26539	dan	0.993	cap_ratio=0.99
26499	thomas	1.000	cap_ratio=1.00
26214	emily	0.997	cap_ratio=1.00, oov
26212	anna	0.999	cap_ratio=1.00, oov
26146	carl	0.998	cap_ratio=1.00
