rank,lemma,is_mwe,pos_guess,raw_freq,freq_per_million
5001,híbrido,0,noun,4313,6.779
5002,lume,0,unk,4309,6.773
5003,toxina,0,adj,4308,6.771
5004,renascer,0,verb,4307,6.770
5005,fotográfico,0,adj,4303,6.763
5006,cona,0,noun,4302,6.762
5007,strip,0,unk,4302,6.762
5008,chique,0,unk,4301,6.760
5009,marina,0,adj,4297,6.754
5010,fundar,0,verb,4296,6.752
5011,berço,0,noun,4295,6.751
5012,fulo,0,noun,4293,6.748
5013,golfinho,0,adj,4293,6.748
5014,traje,0,unk,4292,6.746
5015,infetar,0,verb,4291,6.745
5016,tabuleiro,0,noun,4290,6.743
5017,aspirina,0,adj,4288,6.740
5018,exibição,0,noun,4285,6.735
5019,exótico,0,adj,4285,6.735
5020,cartucho,0,noun,4284,6.734
5021,capela,0,noun,4283,6.732
5022,reverter,0,verb,4283,6.732
5023,hobbit,0,unk,4282,6.730
5024,orgasmo,0,noun,4282,6.730
5025,comunicado,0,noun,4280,6.727
5026,diversos,0,unk,4280,6.727
5027,registro,0,noun,4280,6.727
5028,elástico,0,adj,4275,6.719
5029,farsa,0,noun,4275,6.719
5030,notificar,0,verb,4275,6.719
5031,precisão,0,noun,4275,6.719
5032,brandy,0,unk,4273,6.716
5033,carinho,0,adj,4273,6.716
5034,sarar,0,verb,4271,6.713
5035,chichi,0,unk,4268,6.708
5036,experiente,0,adj,4268,6.708
5037,progredir,0,verb,4268,6.708
5038,papagaio,0,noun,4267,6.707
5039,crack,0,unk,4264,6.702
5040,cereja,0,noun,4263,6.701
5041,mordomo,0,noun,4255,6.688
5042,regulamento,0,noun,4255,6.688
5043,vidente,0,adj,4255,6.688
5044,implacável,0,adj,4254,6.686
5045,comprimento,0,noun,4252,6.683
5046,ogiva,0,noun,4249,6.679
5047,recarregar,0,verb,4247,6.675
5048,dormitório,0,noun,4246,6.674
5049,atum,0,unk,4244,6.671
5050,fluir,0,verb,4243,6.669
5051,insensível,0,adj,4243,6.669
5052,loura,0,noun,4242,6.668
5053,doação,0,noun,4237,6.660
5054,ditado,0,noun,4234,6.655
5055,cilada,0,noun,4231,6.650
5056,viciar,0,verb,4231,6.650
5057,chocante,0,unk,4230,6.649
5058,bunker,0,verb,4228,6.646
5059,cintura,0,noun,4228,6.646
5060,aprendiz,0,unk,4221,6.635
5061,aparentar,0,verb,4220,6.633
5062,desmontar,0,verb,4220,6.633
5063,farmacêutico,0,adj,4218,6.630
5064,terço,0,noun,4217,6.628
5065,transformação,0,noun,4213,6.622
5066,afeto,0,noun,4210,6.617
5067,encolher,0,verb,4210,6.617
5068,hálito,0,noun,4208,6.614
5069,lagarto,0,noun,4208,6.614
5070,retaguarda,0,noun,4207,6.613
5071,stripper,0,verb,4204,6.608
5072,adicional,0,adj,4201,6.603
5073,combinado,0,noun,4201,6.603
5074,imaginário,0,noun,4199,6.600
5075,intelectual,0,adj,4199,6.600
5076,coitar,0,verb,4197,6.597
5077,desempenho,0,noun,4197,6.597
5078,dificilmente,0,adv,4192,6.589
5079,tipa,0,noun,4191,6.587
5080,malandro,0,noun,4187,6.581
5081,oitavo,0,num,4186,6.580
5082,sedativo,0,noun,4185,6.578
5083,tábua,0,noun,4185,6.578
5084,camelo,0,noun,4184,6.576
5085,inscrição,0,noun,4183,6.575
5086,falir,0,verb,4182,6.573
5087,cera,0,noun,4179,6.569
5088,tequila,0,noun,4177,6.565
5089,ginger,0,verb,4176,6.564
5090,estadia,0,noun,4172,6.558
5091,arsenal,0,adj,4171,6.556
5092,protestar,0,verb,4171,6.556
5093,ballet,0,unk,4169,6.553
5094,trovão,0,noun,4169,6.553
5095,linhagem,0,noun,4168,6.551
5096,dinamite,0,unk,4163,6.543
5097,san diego,1,mwe,4163,6.543
5098,desvendar,0,verb,4162,6.542
5099,fritar,0,verb,4162,6.542
5100,médio oriente,1,mwe,4155,6.531
5101,concretizar,0,verb,4153,6.528
5102,triângulo,0,noun,4153,6.528
5103,donzela,0,noun,4152,6.526
5104,infringir,0,verb,4150,6.523
5105,aurora,0,noun,4149,6.521
5106,esfera,0,noun,4149,6.521
5107,enjoado,0,noun,4148,6.520
5108,deficiente,0,adj,4147,6.518
5109,pelas costas,1,mwe,4144,6.514
5110,psíquico,0,adj,4144,6.514
5111,prancha,0,noun,4142,6.510
5112,mascarar,0,verb,4139,6.506
5113,destroço,0,noun,4138,6.504
5114,gravador,0,noun,4135,6.499
5115,aleluia,0,noun,4134,6.498
5116,mantem,0,noun,4131,6.493
5117,pátria,0,noun,4129,6.490
5118,superficial,0,adj,4129,6.490
5119,metáfora,0,noun,4128,6.488
5120,pudim,0,unk,4124,6.482
5121,vitamina,0,adj,4124,6.482
5122,abóbora,0,noun,4121,6.477
5123,coiro,0,noun,4121,6.477
5124,confronto,0,noun,4119,6.474
5125,sintético,0,adj,4119,6.474
5126,banqueiro,0,noun,4118,6.473
5127,estatal,0,adj,4117,6.471
5128,mineiro,0,noun,4116,6.470
5129,cotovelo,0,noun,4114,6.466
5130,pimenta,0,noun,4114,6.466
5131,aterrorizar,0,verb,4113,6.465
5132,pulsação,0,noun,4112,6.463
5133,contrabando,0,noun,4110,6.460
5134,biologia,0,noun,4107,6.455
5135,mãezinha,0,adj,4106,6.454
5136,contabilidade,0,noun,4102,6.448
5137,mangueira,0,noun,4101,6.446
5138,proporcionar,0,verb,4096,6.438
5139,súbito,0,noun,4096,6.438
5140,penteado,0,noun,4095,6.437
5141,desrespeitar,0,verb,4093,6.433
5142,gráfico,0,adj,4090,6.429
5143,ciumento,0,noun,4089,6.427
5144,testículo,0,noun,4089,6.427
5145,lendário,0,noun,4084,6.419
5146,invencível,0,adj,4073,6.402
5147,arredores,0,unk,4072,6.400
5148,beijinho,0,adj,4072,6.400
5149,condessa,0,noun,4071,6.399
5150,extinção,0,noun,4070,6.397
5151,alegação,0,noun,4066,6.391
5152,áudio,0,noun,4065,6.389
5153,atencioso,0,adj,4064,6.388
5154,arrebentar,0,verb,4060,6.381
5155,insuportável,0,adj,4058,6.378
5156,mação,0,noun,4058,6.378
5157,sobrenatural,0,adj,4055,6.374
5158,dane,0,unk,4048,6.363
5159,confiar nele,1,mwe,4045,6.358
5160,desilusão,0,noun,4045,6.358
5161,módulo,0,noun,4044,6.356
5162,campa,0,noun,4043,6.355
5163,boné,0,unk,4040,6.350
5164,caneca,0,noun,4039,6.348
5165,feroz,0,unk,4039,6.348
5166,iminente,0,adj,4039,6.348
5167,colateral,0,adj,4036,6.344
5168,pecar,0,verb,4035,6.342
5169,bordel,0,adj,4033,6.339
5170,paralelo,0,noun,4030,6.334
