rank	lemma	is_mwe	pos_guess	raw_freq	freq_per_million
5001	notificar	0	verb	4275	6.719
5002	precisão	0	noun	4275	6.719
5003	brandy	0	unk	4273	6.716
5004	carinho	0	adj	4273	6.716
5005	sarar	0	verb	4271	6.713
5006	chichi	0	unk	4268	6.708
5007	experiente	0	adj	4268	6.708
5008	progredir	0	verb	4268	6.708
5009	papagaio	0	noun	4267	6.707
5010	crack	0	unk	4264	6.702
5011	cereja	0	noun	4263	6.701
5012	mordomo	0	noun	4255	6.688
5013	regulamento	0	noun	4255	6.688
5014	vidente	0	adj	4255	6.688
5015	implacável	0	adj	4254	6.686
5016	comprimento	0	noun	4252	6.683
5017	ogiva	0	noun	4249	6.679
5018	recarregar	0	verb	4247	6.675
5019	dormitório	0	noun	4246	6.674
5020	atum	0	unk	4244	6.671
5021	fluir	0	verb	4243	6.669
5022	insensível	0	adj	4243	6.669
5023	loura	0	noun	4242	6.668
5024	doação	0	noun	4237	6.660
5025	ditado	0	noun	4234	6.655
5026	cilada	0	noun	4231	6.650
5027	viciar	0	verb	4231	6.650
5028	chocante	0	unk	4230	6.649
5029	bunker	0	verb	4228	6.646
5030	cintura	0	noun	4228	6.646
5031	aprendiz	0	unk	4221	6.635
5032	aparentar	0	verb	4220	6.633
5033	desmontar	0	verb	4220	6.633
5034	farmacêutico	0	adj	4218	6.630
5035	terço	0	noun	4217	6.628
5036	transformação	0	noun	4213	6.622
5037	afeto	0	noun	4210	6.617
5038	encolher	0	verb	4210	6.617
5039	hálito	0	noun	4208	6.614
5040	lagarto	0	noun	4208	6.614
5041	retaguarda	0	noun	4207	6.613
5042	stripper	0	verb	4204	6.608
5043	adicional	0	adj	4201	6.603
5044	combinado	0	noun	4201	6.603
5045	imaginário	0	noun	4199	6.600
5046	intelectual	0	adj	4199	6.600
5047	coitar	0	verb	4197	6.597
5048	desempenho	0	noun	4197	6.597
5049	dificilmente	0	adv	4192	6.589
5050	tipa	0	noun	4191	6.587
5051	malandro	0	noun	4187	6.581
5052	oitavo	0	num	4186	6.580
5053	sedativo	0	noun	4185	6.578
5054	tábua	0	noun	4185	6.578
5055	camelo	0	noun	4184	6.576
5056	inscrição	0	noun	4183	6.575
5057	falir	0	verb	4182	6.573
5058	cera	0	noun	4179	6.569
5059	tequila	0	noun	4177	6.565
5060	ginger	0	verb	4176	6.564
5061	estadia	0	noun	4172	6.558
5062	arsenal	0	adj	4171	6.556
5063	protestar	0	verb	4171	6.556
5064	ballet	0	unk	4169	6.553
5065	trovão	0	noun	4169	6.553
5066	linhagem	0	noun	4168	6.551
5067	dinamite	0	unk	4163	6.543
5068	san diego	1	mwe	4163	6.543
5069	desvendar	0	verb	4162	6.542
5070	fritar	0	verb	4162	6.542
5071	médio oriente	1	mwe	4155	6.531
5072	concretizar	0	verb	4153	6.528
5073	triângulo	0	noun	4153	6.528
5074	donzela	0	noun	4152	6.526
5075	infringir	0	verb	4150	6.523
5076	aurora	0	noun	4149	6.521
5077	esfera	0	noun	4149	6.521
5078	enjoado	0	noun	4148	6.520
5079	deficiente	0	adj	4147	6.518
5080	pelas costas	1	mwe	4144	6.514
5081	psíquico	0	adj	4144	6.514
5082	prancha	0	noun	4142	6.510
5083	mascarar	0	verb	4139	6.506
5084	destroço	0	noun	4138	6.504
5085	gravador	0	noun	4135	6.499
5086	aleluia	0	noun	4134	6.498
5087	mantem	0	noun	4131	6.493
5088	pátria	0	noun	4129	6.490
5089	superficial	0	adj	4129	6.490
5090	metáfora	0	noun	4128	6.488
5091	pudim	0	unk	4124	6.482
5092	vitamina	0	adj	4124	6.482
5093	abóbora	0	noun	4121	6.477
5094	coiro	0	noun	4121	6.477
5095	confronto	0	noun	4119	6.474
5096	sintético	0	adj	4119	6.474
