rank,lemma,is_mwe,pos_guess,raw_freq,freq_per_million
1,o,0,det,27761722,44496.246
2,ser,0,verb,23645352,37898.564
3,que,0,conj,22332750,35794.737
4,a,0,det,21990620,35246.374
5,não,0,adv,17927087,28733.379
6,de,0,prep,15387163,24662.411
7,um,0,det,13939963,22342.851
8,estar,0,verb,13237034,21216.203
9,e,0,conj,10295329,16501.264
10,eu,0,pron,9529722,15274.155
11,ter,0,verb,9357538,14998.180
12,ir,0,verb,8371033,13417.019
13,para,0,prep,7212234,11559.706
14,fazer,0,verb,4834389,7748.517
15,meu,0,pron,4786029,7671.006
16,se,0,conj,4708220,7546.294
17,com,0,prep,4680140,7501.288
18,poder,0,verb,4496545,7207.023
19,do,0,det,4494223,7203.301
20,ele,0,pron,4375996,7013.808
21,saber,0,verb,4345545,6965.002
22,por,0,prep,4231757,6782.623
23,o que,1,mwe,4104678,6578.942
24,tu,0,pron,4064606,6514.715
25,querer,0,verb,3773359,6047.907
26,bem,0,adv,3675637,5891.279
27,em,0,prep,3631615,5820.721
28,mas,0,conj,3602828,5774.581
29,da,0,det,3451307,5531.725
30,isso,0,pron,3438865,5511.783
31,dizer,0,verb,3349634,5368.764
32,como,0,adv,3285225,5265.530
33,sim,0,adv,2839627,4551.329
34,no,0,unk,2668044,4276.318
35,mais,0,adv,2560955,4104.676
36,muito,0,adv,2522053,4042.325
37,seu,0,pron,2494549,3998.241
38,na,0,unk,2482248,3978.525
39,aqui,0,pron,2355966,3776.122
40,este,0,pron,2344457,3757.675
41,ver,0,verb,2123212,3403.066
42,haver,0,verb,2092780,3354.290
43,ela,0,pron,2082791,3338.279
44,todo,0,pron,2074113,3324.370
45,isto,0,pron,2064783,3309.416
46,já,0,adv,1862357,2984.970
47,bom,0,intj,1841045,2950.811
48,coisa,0,noun,1811145,2902.887
49,à,0,det,1741554,2791.348
50,só,0,adv,1723933,2763.105
51,ao,0,det,1697494,2720.729
52,tudo,0,adj,1643412,2634.046
53,ficar,0,verb,1621576,2599.048
54,achar,0,verb,1584820,2540.136
55,vir,0,verb,1566860,2511.350
56,porque,0,conj,1552691,2488.640
