lemma	count	cap_ratio	filter_drops
deus	743244	0.961	yes
sr	546304	0.950	yes
dr	160921	0.984	yes
john	132092	0.998	yes
jack	132024	0.997	yes
sra	129022	0.960	yes
sam	97312	0.998	yes
michael	84241	0.994	yes
natal	80763	0.895	yes
frank	78342	0.999	yes
jesus	76218	0.996	yes
fbi	68048	0.973	yes
david	67169	0.998	yes
george	59941	0.999	yes
james	58380	0.999	yes
iorque	50638	0.999	yes
américa	50432	0.997	yes
henry	48921	0.999	yes
max	48472	0.998	yes
nick	48176	0.990	yes
paul	47573	0.994	yes
bill	45424	0.993	yes
mary	44949	0.998	yes
sarah	44399	0.999	yes
majestade	43991	0.918	yes
tony	40159	0.998	yes
paris	38890	0.997	yes
walter	38514	0.996	yes
londres	37306	0.998	yes
richard	37007	0.999	yes
robert	36135	1.000	yes
william	34974	0.980	yes
cristo	34510	0.988	yes
claire	33377	0.996	yes
mark	33235	0.996	yes
washington	32320	0.998	yes
jane	32165	0.997	yes
maria	31704	0.992	yes
daniel	31200	0.997	yes
charles	31040	0.994	yes
tv	30786	0.950	yes
eua	29562	0.999	yes
scott	29338	0.998	yes
rachel	28884	0.999	yes
clark	28556	0.999	yes
roma	28373	0.998	yes
martin	28073	0.998	yes
lisa	27300	0.946	yes
inglaterra	27135	0.990	yes
dan	26539	0.993	yes
thomas	26499	1.000	yes
carl	26146	0.998	yes
frança	25504	0.996	yes
simon	25472	0.999	yes
andy	24889	0.998	yes
califórnia	23661	0.995	yes
méxico	23464	0.997	yes
adn	23430	1.000	yes
angeles	23346	0.994	yes
phil	23278	0.997	yes
adam	23025	0.999	yes
chicago	22932	0.997	yes
lorde	22590	0.912	yes
alice	22502	0.997	yes
morgan	22196	1.000	yes
sara	21873	0.981	yes
york	21397	0.997	yes
van	21348	0.860	yes
don	21345	0.989	yes
city	21058	0.990	yes
louis	20937	0.999	yes
susan	20778	0.999	yes
victor	20083	0.998	yes
jackson	19797	0.997	yes
howard	19589	1.000	yes
europa	19319	0.993	yes
oliver	19143	0.995	yes
robin	18975	0.998	yes
rose	18932	0.995	yes
edward	18612	1.000	yes
texas	18390	0.996	yes
jenny	18333	0.999	yes
marcus	18146	1.000	yes
china	18027	0.981	yes
smith	18013	0.997	yes
bruce	17615	0.998	yes
áfrica	17457	0.999	yes
patrick	17230	0.997	yes
roy	17116	0.999	yes
miami	17099	0.996	yes
taylor	17053	0.998	yes
marshall	16666	0.983	yes
tim	16277	0.996	yes
wilson	16267	0.993	yes
san	16158	0.991	yes
francisco	15922	0.998	yes
park	15818	0.996	yes
julie	15757	0.994	yes
king	15536	0.989	yes
miller	15421	0.994	yes
leonard	15399	1.000	yes
lincoln	15031	0.995	yes
fred	15000	1.000	yes
gordon	14985	1.000	yes
cole	14926	0.982	yes
laura	14917	0.999	yes
alemanha	14704	0.991	yes
hitler	14558	0.996	yes
jacob	14438	0.999	yes
v	14386	0.857	yes
brown	14381	0.995	yes
helen	14234	0.994	yes
boston	14176	0.998	yes
rússia	13947	0.999	yes
lucas	13858	0.999	yes
bíblia	13730	0.868	yes
eva	13601	0.999	yes
carol	13480	0.996	yes
hollywood	13431	0.983	yes
charlotte	13417	0.987	yes
índia	13231	0.878	yes
florida	13151	0.972	yes
césar	13045	0.996	yes
jordan	13038	0.999	yes
alteza	12956	0.890	yes
connor	12956	0.997	yes
sally	12915	0.997	yes
nancy	12482	0.998	yes
jean	12372	0.999	yes
owen	12253	1.000	yes
harold	11908	0.999	yes
dylan	11886	0.999	yes
davis	11816	1.000	yes
catherine	11811	1.000	yes
nina	11804	0.988	yes
white	11705	0.987	yes
shaw	11656	0.999	yes
japão	11369	0.990	yes
marie	11112	1.000	yes
albert	11068	0.996	yes
berlim	11053	0.991	yes
zoe	10612	0.998	yes
joseph	10610	0.999	yes
itália	10572	0.992	yes
dante	10552	0.999	yes
lewis	10499	0.998	yes
murphy	10492	0.999	yes
russell	10406	0.999	yes
hill	10326	0.991	yes
francis	10228	0.999	yes
simpson	10119	1.000	yes
tara	10034	0.924	yes
senado	9986	0.861	yes
espanha	9876	0.997	yes
diana	9834	0.999	yes
ministério	9789	0.874	yes
diego	9786	0.998	yes
lord	9671	0.955	yes
ana	9614	0.973	yes
gabriel	9591	0.984	yes
iraque	9587	0.999	yes
dana	9336	0.995	yes
mia	9296	0.881	yes
victoria	9280	0.991	yes
ford	9170	0.997	yes
palmer	9136	0.998	yes
potter	9128	0.999	yes
marte	9112	0.992	yes
outubro	9063	0.853	yes
tracy	9063	0.999	yes
kong	9060	0.995	yes
turner	9027	0.998	yes
collins	8995	1.000	yes
curtis	8966	0.998	yes
moscovo	8926	0.999	yes
brooklyn	8922	0.997	yes
duke	8883	0.998	yes
miguel	8832	0.997	yes
jersey	8823	0.997	yes
neil	8780	0.991	yes
canadá	8761	0.998	yes
barbara	8689	0.998	yes
allen	8607	0.999	yes
julian	8601	0.999	yes
rita	8594	0.999	yes
nelson	8556	0.996	yes
stanley	8551	0.997	yes
gloria	8531	0.954	yes
cal	8483	0.892	yes
pedro	8483	0.997	yes
tina	8449	0.910	yes
spencer	8447	0.999	yes
vanessa	8421	0.996	yes
benjamin	8400	0.999	yes
monroe	8338	1.000	yes
watson	8308	0.999	yes
karl	8290	0.997	yes
afeganistão	8175	0.997	yes
franklin	8131	0.996	yes
gps	8128	0.995	yes
liam	8120	0.967	yes
harvard	8112	0.999	yes
cam	8101	0.985	yes
seattle	8056	0.994	yes
oriente	7929	0.881	yes
miranda	7886	1.000	yes
hong	7847	0.997	yes
lawrence	7811	1.000	yes
ruth	7620	1.000	yes
delta	7615	0.853	yes
vietname	7588	0.998	yes
egito	7466	1.000	yes
christian	7291	1.000	yes
joão	7278	0.994	yes
sue	7272	0.981	yes
kennedy	7225	0.996	yes
isaac	7150	1.000	yes
israel	7126	0.996	yes
helena	7104	0.994	yes
janet	7081	1.000	yes
thompson	7018	1.000	yes
isabel	6977	0.999	yes
christopher	6917	1.000	yes
filadélfia	6909	0.996	yes
jules	6909	0.997	yes
baker	6879	1.000	yes
juan	6878	0.996	yes
