rank,lemma,is_mwe,pos_guess,raw_freq,freq_per_million
1,o,0,det,29886324,46975.236
84,tua,0,noun,1095194,1721.423
167,entrar,0,verb,504246,792.572
250,mudar,0,verb,302480,475.437
333,mês,0,adj,205254,322.618
416,meter,0,verb,153380,241.082
499,porra,0,noun,122907,193.185
582,chave,0,unk,98363,154.607
665,vontade,0,noun,82307,129.370
748,graças,0,unk,72113,113.347
831,comandante,0,unk,63601,99.968
914,computador,0,noun,57060,89.687
997,contratar,0,verb,52182,82.020
1080,russo,0,noun,46082,72.432
1163,doença,0,noun,42267,66.435
1246,parque,0,unk,38568,60.621
1329,corte,0,unk,34387,54.049
1412,reino,0,adj,31271,49.152
1495,físico,0,adj,29184,45.871
1578,leite,0,unk,27267,42.858
1661,surgir,0,verb,25490,40.065
1744,treinador,0,noun,23953,37.649
1827,vigilância,0,noun,22526,35.406
1910,confortável,0,adj,21077,33.129
1993,dificuldade,0,noun,19526,30.691
2076,celebrar,0,verb,18488,29.059
2159,traficante,0,unk,17494,27.497
2242,maricas,0,unk,16584,26.067
2325,tatuagem,0,noun,15717,24.704
2408,atual,0,adj,14875,23.380
2491,generoso,0,adj,14132,22.213
2574,saudades tuas,1,mwe,13340,20.968
2657,honrar,0,verb,12716,19.987
2740,fraude,0,noun,12116,19.044
2823,religioso,0,adj,11554,18.161
2906,manual,0,adj,11102,17.450
2989,embaixada,0,noun,10605,16.669
3072,converter,0,verb,10055,15.804
3155,duque,0,unk,9570,15.042
3238,piedade,0,noun,9115,14.327
3321,fogueira,0,noun,8728,13.719
3404,junho,0,noun,8395,13.195
3487,poesia,0,noun,8082,12.703
3570,doca,0,noun,7776,12.222
3653,von,0,unk,7502,11.792
3736,pago,0,noun,7243,11.385
3819,edição,0,noun,6953,10.929
3902,clima,0,noun,6712,10.550
3985,submeter,0,verb,6467,10.165
4068,bónus,0,unk,6274,9.861
4151,insinuar,0,verb,6011,9.448
4234,transmissor,0,unk,5789,9.099
4317,sangrento,0,noun,5579,8.769
4400,intimidar,0,verb,5391,8.474
4483,imundo,0,noun,5232,8.224
4566,alcunha,0,noun,5060,7.953
4649,cimo,0,noun,4865,7.647
4732,rufia,0,noun,4723,7.424
4815,camioneta,0,noun,4582,7.202
4898,equação,0,noun,4455,7.002
4981,fundar,0,verb,4296,6.752
