kind	entry	entry_rank	other	other_rank	detail
diacritic	hã	2855	ha	2567	both fold to 'ha'
diacritic	ã	4793	a	3	both fold to 'a'
diacritic	nã	5565	na	36	both fold to 'na'
diacritic	pa	5636	pá	1006	both fold to 'pa'
diacritic	video	6184	vídeo	1123	both fold to 'video'
diacritic	ra	6749	rã	5434	both fold to 'ra'
diacritic	camera	6984	câmera	3419	both fold to 'camera'
diacritic	obvio	7142	óbvio	1335	both fold to 'obvio'
diacritic	sa	7429	sã	6008	both fold to 'sa'
diacritic	taxi	7464	táxi	1469	both fold to 'taxi'
diacritic	cirurgiã	7775	cirurgia	1670	both fold to 'cirurgia'
diacritic	frigorifico	8024	frigorífico	2772	both fold to 'frigorifico'
diacritic	politica	8060	política	1400	both fold to 'politica'
diacritic	amen	8972	ámen	2842	both fold to 'amen'
diacritic	espiã	9363	espia	5795	both fold to 'espia'
diacritic	bla	9415	blá	4125	both fold to 'bla'
diacritic	mafia	9840	máfia	3426	both fold to 'mafia'
diacritic	karate	9866	karaté	6747	both fold to 'karate'
