# Lemmas filtered out by the proper-noun/OOV heuristic.
# Sorted desc by raw count -- review to rescue any false positives.
# Truncated to entries with >= 100 occurrences: 181 of 6,651. The full list is written next to
# this file as *_full.txt and is not committed.
# count	lemma	cap_ratio	reason
2896	sr	0.979	cap_ratio=0.98
2480	deus	0.927	cap_ratio=0.93
1435	lebowski	0.998	cap_ratio=1.00, oov
953	harry	1.000	cap_ratio=1.00, oov
825	walter	1.000	cap_ratio=1.00
791	dr	1.000	cap_ratio=1.00
751	sra	0.997	cap_ratio=1.00
744	tom	0.930	cap_ratio=0.93
662	john	1.000	cap_ratio=1.00
592	bacano	0.976	cap_ratio=0.98, oov
568	mr	0.989	cap_ratio=0.99, oov
537	frost	1.000	cap_ratio=1.00, oov
526	blade	1.000	cap_ratio=1.00, oov
514	nick	0.926	cap_ratio=0.93
466	george	1.000	cap_ratio=1.00
453	jesus	1.000	cap_ratio=1.00
439	carter	1.000	cap_ratio=1.00, oov
436	larry	1.000	cap_ratio=1.00, oov
428	goa'uid	0.993	cap_ratio=0.99, oov
414	ed	1.000	cap_ratio=1.00, oov
408	max	1.000	cap_ratio=1.00
389	donny	1.000	cap_ratio=1.00, oov
383	murdoch	1.000	cap_ratio=1.00, oov
364	fbi	0.880	cap_ratio=0.88
348	jack	0.967	cap_ratio=0.97
338	plank	1.000	cap_ratio=1.00, oov
323	majestade	0.973	cap_ratio=0.97
317	joe	1.000	cap_ratio=1.00, oov
303	daniel	0.995	cap_ratio=0.99
299	sir	0.991	cap_ratio=0.99
288	frankenstein	1.000	cap_ratio=1.00
281	robert	1.000	cap_ratio=1.00
279	frank	1.000	cap_ratio=1.00
276	danny	0.995	cap_ratio=1.00, oov
274	jackie	1.000	cap_ratio=1.00, oov
273	mulder	1.000	cap_ratio=1.00, oov
265	charlie	1.000	cap_ratio=1.00, oov
262	rory	1.000	cap_ratio=1.00, oov
248	paul	1.000	cap_ratio=1.00
248	vole	1.000	cap_ratio=1.00, oov
242	machado	0.929	cap_ratio=0.93
239	dean	1.000	cap_ratio=1.00, oov
235	londres	1.000	cap_ratio=1.00
234	ray	1.000	cap_ratio=1.00, oov
233	jeffrey	1.000	cap_ratio=1.00, oov
233	rachel	1.000	cap_ratio=1.00
232	willie	0.994	cap_ratio=0.99, oov
229	buffy	1.000	cap_ratio=1.00, oov
225	treehorn	1.000	cap_ratio=1.00, oov
223	michael	1.000	cap_ratio=1.00
216	mason	1.000	cap_ratio=1.00, oov
215	martin	0.994	cap_ratio=0.99
215	vince	1.000	cap_ratio=1.00, oov
214	grga	1.000	cap_ratio=1.00, oov
212	wyatt	1.000	cap_ratio=1.00, oov
211	lee	1.000	cap_ratio=1.00, oov
210	cristo	1.000	cap_ratio=1.00
210	sam	1.000	cap_ratio=1.00
209	bunny	1.000	cap_ratio=1.00, oov
206	teal'c	1.000	cap_ratio=1.00, oov
200	c	0.956	cap_ratio=0.96, oov
200	charles	1.000	cap_ratio=1.00
200	leonard	1.000	cap_ratio=1.00
199	wilfrid	1.000	cap_ratio=1.00, oov
197	cônsul	0.893	cap_ratio=0.89
195	américa	0.994	cap_ratio=0.99
187	audrey	1.000	cap_ratio=1.00, oov
186	barry	1.000	cap_ratio=1.00, oov
186	dadan	1.000	cap_ratio=1.00, oov
184	eric	1.000	cap_ratio=1.00, oov
184	juntao	1.000	cap_ratio=1.00, oov
184	kenny	1.000	cap_ratio=1.00, oov
177	moisés	1.000	cap_ratio=1.00
177	nina	1.000	cap_ratio=1.00
175	tok'ra	1.000	cap_ratio=1.00, oov
173	will	0.952	cap_ratio=0.95, oov
168	french	1.000	cap_ratio=1.00, oov
165	karl	1.000	cap_ratio=1.00
162	dan	1.000	cap_ratio=1.00
161	zare	1.000	cap_ratio=1.00, oov
160	iorque	1.000	cap_ratio=1.00
