rank	lemma	is_mwe	pos_guess	raw_freq	freq_per_million
5001	bondoso	0	adj	18	6.774
5002	burlar	0	verb	18	6.774
5003	camarote	0	unk	18	6.774
5004	cantina	0	adj	18	6.774
5005	castanha	0	noun	18	6.774
5006	colegial	0	adj	18	6.774
5007	concha	0	noun	18	6.774
5008	contemplar	0	verb	18	6.774
5009	contrariar	0	verb	18	6.774
5010	couve	0	unk	18	6.774
5011	criancice	0	noun	18	6.774
5012	cálculo	0	noun	18	6.774
5013	céaro	0	noun	18	6.774
5014	descaramento	0	noun	18	6.774
5015	desmascarar	0	verb	18	6.774
5016	desrespeitar	0	verb	18	6.774
5017	destacar	0	verb	18	6.774
5018	diet	0	unk	18	6.774
5019	dios	0	unk	18	6.774
5020	donzela	0	noun	18	6.774
5021	elaborar	0	verb	18	6.774
5022	elite	0	unk	18	6.774
5023	encoste	0	unk	18	6.774
5024	erógena	0	noun	18	6.774
5025	esgotar	0	verb	18	6.774
5026	espertalhão	0	noun	18	6.774
5027	evacuação	0	noun	18	6.774
5028	excessivo	0	noun	18	6.774
5029	excêntrico	0	adj	18	6.774
5030	faceta	0	noun	18	6.774
5031	fascinar	0	verb	18	6.774
5032	faéar	0	verb	18	6.774
5033	fedorento	0	noun	18	6.774
5034	formoso	0	adj	18	6.774
5035	fr	0	unk	18	6.774
5036	galdério	0	noun	18	6.774
5037	galo	0	noun	18	6.774
5038	guarda-roupa	0	noun	18	6.774
5039	histeria	0	noun	18	6.774
5040	horripilante	0	unk	18	6.774
5041	humidade	0	noun	18	6.774
5042	imparcial	0	adj	18	6.774
5043	incendiar	0	verb	18	6.774
5044	informal	0	adj	18	6.774
5045	ingrato	0	noun	18	6.774
5046	inseguro	0	noun	18	6.774
5047	intercetar	0	verb	18	6.774
5048	ironia	0	noun	18	6.774
5049	irónico	0	adj	18	6.774
5050	jarra	0	noun	18	6.774
5051	knox	0	unk	18	6.774
5052	labirinto	0	noun	18	6.774
5053	lagarta	0	noun	18	6.774
5054	lavandaria	0	noun	18	6.774
5055	licenciar	0	verb	18	6.774
5056	lisongeado	0	noun	18	6.774
5057	literal	0	adj	18	6.774
5058	ln-and-out	0	unk	18	6.774
