rank,lemma,is_mwe,pos_guess,raw_freq,freq_per_million
1,o,0,det,124957,47024.932
84,vez,0,unk,4587,1726.221
167,problema,0,noun,2049,771.098
250,preocupar,0,verb,1264,475.680
333,beber,0,verb,847,318.751
416,ordem,0,noun,658,247.624
499,responder,0,verb,511,192.304
582,sequer,0,adv,429,161.445
665,aproximar,0,verb,357,134.349
748,idade,0,noun,313,117.791
831,pesar,0,verb,282,106.125
914,metade,0,num,247,92.953
997,controlo,0,noun,218,82.040
1080,lidar,0,verb,194,73.008
1163,triste,0,unk,178,66.987
1246,inútil,0,unk,163,61.342
1329,resgate,0,unk,151,56.826
1412,poderoso,0,adj,139,52.310
1495,surpreendido,0,noun,129,48.546
1578,honesto,0,noun,119,44.783
1661,perturbar,0,verb,111,41.773
1744,soprar,0,verb,104,39.138
1827,panqueca,0,noun,95,35.751
1910,investir,0,verb,89,33.493
1993,interno,0,noun,83,31.235
2076,moça,0,noun,78,29.354
2159,torneio,0,noun,74,27.848
2242,calcular,0,verb,68,25.590
2325,tubo,0,noun,65,24.461
2408,bandeira,0,noun,61,22.956
2491,soviético,0,adj,59,22.203
2574,sintonização,0,noun,56,21.074
2657,limusina,0,adj,53,19.945
2740,esfregar,0,verb,50,18.816
2823,ficha,0,noun,48,18.064
2906,dramático,0,adj,46,17.311
2989,canalha,0,noun,44,16.558
3072,concurso,0,noun,42,15.806
3155,cegar,0,verb,40,15.053
3238,alar,0,verb,38,14.300
3321,incêndio,0,noun,37,13.924
3404,abaixar,0,verb,35,13.172
3487,enjoar,0,verb,34,12.795
3570,retrato,0,noun,33,12.419
3653,vaguear,0,verb,32,12.043
3736,bode,0,noun,30,11.290
3819,deformar,0,verb,29,10.914
3902,circuito,0,noun,28,10.537
3985,agredir,0,verb,27,10.161
4068,vertical,0,adj,27,10.161
4151,refresco,0,noun,26,9.785
4234,punho,0,noun,25,9.408
4317,observador,0,noun,24,9.032
4400,ensopar,0,verb,23,8.656
4483,climático,0,adj,22,8.279
4566,somar,0,verb,22,8.279
4649,mergulhador,0,noun,21,7.903
4732,dissémos,0,unk,20,7.527
4815,tinhamos,0,unk,20,7.527
4898,gorduroso,0,adj,19,7.150
4981,vibração,0,noun,19,7.150
