kind	entry	entry_rank	other	other_rank	detail
diacritic	idéia	1384	ideia	260	both fold to 'ideia'
diacritic	dói	2178	doi	112	both fold to 'doi'
diacritic	hà	2293	ha	1717	both fold to 'ha'
diacritic	hã	2447	ha	1717	both fold to 'ha'
diacritic	cú	2554	cu	807	both fold to 'cu'
diacritic	familia	2701	família	364	both fold to 'familia'
diacritic	demônio	3109	demónio	1644	both fold to 'demonio'
diacritic	sao	3395	säo	2721	both fold to 'sao'
diacritic	rã	3458	ra	1933	both fold to 'ra'
diacritic	estao	3618	estäo	3210	both fold to 'estao'
diacritic	cerimônia	4372	cerimónia	1775	both fold to 'cerimonia'
diacritic	freqüência	4516	frequência	2910	both fold to 'frequencia'
inflected	hs	4632	h	877	hs is a regular inflection of h
diacritic	joia	4644	jóia	2537	both fold to 'joia'
diacritic	obvio	4778	óbvio	1599	both fold to 'obvio'
diacritic	väo	4822	vao	4456	both fold to 'vao'
diacritic	provávelmente	4950	provavelmente	800	both fold to 'provavelmente'
diacritic	prêmio	5220	prémio	1885	both fold to 'premio'
diacritic	cha	5469	chá	982	both fold to 'cha'
diacritic	experiencia	5509	experiência	813	both fold to 'experiencia'
diacritic	figâdo	5513	fígado	3430	both fold to 'figado'
diacritic	mamae	5543	mamãe	1174	both fold to 'mamae'
diacritic	seqüência	5585	sequência	2158	both fold to 'sequencia'
diacritic	quilômetro	5797	quilómetro	2604	both fold to 'quilometro'
diacritic	batalhao	5864	batalhão	2987	both fold to 'batalhao'
diacritic	terrivel	6057	terrível	986	both fold to 'terrivel'
diacritic	indio	6194	índio	1298	both fold to 'indio'
diacritic	raínha	6246	rainha	1070	both fold to 'rainha'
diacritic	suíte	6272	suite	3463	both fold to 'suite'
diacritic	britanico	6326	britânico	1592	both fold to 'britanico'
diacritic	fenómeno	6406	fenômeno	5937	both fold to 'fenomeno'
diacritic	päo	6501	pão	2184	both fold to 'pao'
diacritic	saida	6521	saída	1095	both fold to 'saida'
diacritic	secretaria	6525	secretária	1968	both fold to 'secretaria'
diacritic	comitê	6622	comité	5306	both fold to 'comite'
diacritic	cupido	6645	cúpido	6359	both fold to 'cupido'
diacritic	delinqüente	6650	delinquente	4194	both fold to 'delinquente'
diacritic	porêm	6804	porém	1217	both fold to 'porem'
diacritic	pêra	6817	pera	4322	both fold to 'pera'
diacritic	taxi	6862	táxi	1211	both fold to 'taxi'
diacritic	vôo	6880	voo	1971	both fold to 'voo'
diacritic	audio	6918	áudio	5259	both fold to 'audio'
diacritic	diario	6997	diário	2620	both fold to 'diario'
diacritic	fácilmente	7047	facilmente	2267	both fold to 'facilmente'
diacritic	lingua	7096	língua	1238	both fold to 'lingua'
diacritic	matrimónio	7108	matrimônio	6759	both fold to 'matrimonio'
diacritic	mío	7126	mio	7117	both fold to 'mio'
diacritic	princípe	7156	príncipe	1695	both fold to 'principe'
diacritic	calcar	7318	calçar	6332	both fold to 'calcar'
diacritic	gênio	7447	génio	1693	both fold to 'genio'
diacritic	heroi	7453	herói	1418	both fold to 'heroi'
diacritic	moínho	7526	moinho	3632	both fold to 'moinho'
diacritic	tas	7651	tás	4253	both fold to 'tas'
diacritic	tranqüilo	7664	tranquilo	2427	both fold to 'tranquilo'
diacritic	voluntario	7689	voluntário	2262	both fold to 'voluntario'
diacritic	và	7690	va	4347	both fold to 'va'
diacritic	frequencia	7885	frequência	2910	both fold to 'frequencia'
diacritic	musculo	7984	músculo	3444	both fold to 'musculo'
diacritic	oxigênio	8010	oxigénio	4320	both fold to 'oxigenio'
diacritic	revoluçäo	8081	revolução	2543	both fold to 'revolucao'
diacritic	últimamente	8177	ultimamente	2520	both fold to 'ultimamente'
diacritic	anônimo	8210	anónimo	6307	both fold to 'anonimo'
diacritic	bla	8241	blá	4090	both fold to 'bla'
diacritic	bracal	8246	braçal	7310	both fold to 'bracal'
diacritic	ingênuo	8486	ingénuo	4757	both fold to 'ingenuo'
diacritic	milênio	8546	milénio	5761	both fold to 'milenio'
diacritic	senor	8700	señor	6848	both fold to 'senor'
diacritic	troçar	8751	trocar	944	both fold to 'trocar'
diacritic	troço	8752	troco	2160	both fold to 'troco'
diacritic	bla-bla-bla	8869	blá-blá-blá	7305	both fold to 'bla-bla-bla'
diacritic	caço	8907	caco	8257	both fold to 'caco'
diacritic	cinqüenta	8917	cinquenta	3417	both fold to 'cinquenta'
diacritic	dancarina	8968	dançarina	4723	both fold to 'dancarina'
diacritic	freqüentemente	9124	frequentemente	5354	both fold to 'frequentemente'
diacritic	frigorifico	9125	frigorífico	3319	both fold to 'frigorifico'
diacritic	irônico	9220	irónico	5049	both fold to 'ironico'
diacritic	pôquer	9404	póquer	3565	both fold to 'poquer'
diacritic	rosé	9445	rose	5240	both fold to 'rose'
diacritic	sensivel	9459	sensível	2015	both fold to 'sensivel'
diacritic	acadêmico	9587	académico	6572	both fold to 'academico'
diacritic	assassinio	9660	assassínio	3023	both fold to 'assassinio'
diacritic	camera	9753	câmera	4874	both fold to 'camera'
diacritic	coincidencia	9811	coincidência	2055	both fold to 'coincidencia'
diacritic	colônia	9819	colónia	7790	both fold to 'colonia'
diacritic	congénito	9841	congênito	8938	both fold to 'congenito'
